scenario_name,first_depletion,30per_depletion,coverage (mean),coverage (stdev),final_fitness (mean),final_fitness (stdev),initial_fitness (mean),initial_fitness (stdev),nb_sleeping (mean),nb_sleeping (stdev),overlapping (mean),overlapping (stdev),,term1_final (mean),term1_final (stdev),term1_initial (mean),term1_initial (stdev),term2_final (mean),term2_final (stdev),term2_initial (mean),term2_initial (stdev)
LEACH,888,1602,,,,,,,,,,,,,,,,,,,
MTE (2),18,151,,,,,,,,,,,,,,,,,,,
LEACH (2),578,1254,,,,,,,,,,,,,,,,,,,
FCM + Pso (2),1417,2046,0.928723297051,0.0273069241139,0.779124857666,0.0329074483091,0.609657312389,0.0322570628665,0.286827797182,0.033295908377,0.33714446815,0.0772354080653,,0.741184446597,0.0665471137843,0.629932848175,0.0682362684256,0.817065268286,0.0301690062492,0.58938177703,0.0609141035289
FCM + Pso,3123,3157,0.915285418597,0.0314563104856,0.723080465114,0.02503081219,0.591073759393,0.0254254839166,0.268877743758,0.0398266813103,0.376735290826,0.0836292657309,,0.656183061952,0.0543183079253,0.608603969554,0.066798517172,0.789977868161,0.0326117836163,0.573543549445,0.0631288875864
FCMMPSO,3361,3626,0.880427693675,0.0449296885633,0.771043341495,0.0229824690205,0.59848866643,0.0275919269703,0.334708471518,0.0595399057754,0.311062871229,0.0989028335329,,0.765972670977,0.048710081634,0.618835614602,0.0652039589051,0.776114011686,0.0462344752336,0.578141718046,0.0627228918651
DC,456,1720,,,,,,,,,,,,,,,,,,,
FCM (2),1214,1568,,,,,,,,,,,,,,,,,,,
DC (2),28,82,,,,,,,,,,,,,,,,,,,
FCMMPSO (2),1486,2118,0.879374600357,0.0455091197023,0.794372532887,0.0284288811081,0.603977649621,0.0286349612822,0.375762614139,0.0494924285406,0.223533120763,0.067520130742,,0.802955840344,0.0559011287781,0.630675393009,0.0614926900159,0.785789225923,0.0471604586682,0.577279905762,0.0557732470685
FCM,1956,2376,,,,,,,,,,,,,,,,,,,
MTE,35,318,,,,,,,,,,,,,,,,,,,
