scenario_name,first_depletion,30per_depletion,coverage (mean),coverage (stdev),final_fitness (mean),final_fitness (stdev),initial_fitness (mean),initial_fitness (stdev),nb_sleeping (mean),nb_sleeping (stdev),overlapping (mean),overlapping (stdev),term1_final (mean),term1_final (stdev),term1_initial (mean),term1_initial (stdev),term2_final (mean),term2_final (stdev),term2_initial (mean),term2_initial (stdev)
"0.5, 0.5",,,,,,,,,,,,,,,,,,,,
FCM + Pso,3141,3195,0.929848390195,0.0293189345597,0.72852478299,0.0245820446658,0.585984026065,0.0250943322534,0.23918213342,0.032346204778,0.523707127986,0.0671121603802,0.70279603012,0.0523743311767,0.615500655742,0.0611964988623,0.754253536123,0.0273293607008,0.55646739553,0.0564377423889
FCMMPSO,3394,3441,0.885242335123,0.0498180712586,0.752448234127,0.02103344847,0.593414172836,0.0266706575262,0.318451612488,0.0507300796358,0.422264877661,0.0882551571039,0.76824635898,0.0522321149188,0.622112959153,0.0700945218516,0.736650110051,0.0488798540371,0.564715387765,0.0667903308228
FCM + Ecca,3496,3516,0.865491845359,0.0515603022727,0.760991491901,0.0204827281329,0.600699354925,0.02753293181,0.335559828624,0.0488469139866,0.421486680531,0.0875461095733,0.805063608139,0.0515021386709,0.629736652885,0.0698140744807,0.716919376059,0.0530739853798,0.571662056939,0.0662877167506
"0.75, 0.25",,,,,,,,,,,,,,,,,,,,
FCM + Pso (2),3148,3229,0.749581179735,0.0568807320979,0.664522766649,0.0248357803348,0.599909709549,0.0290522568883,0.376258568906,0.0433631601054,0.342290524201,0.0809720276788,0.678902296653,0.0362668889383,0.629635841404,0.0414562839956,0.621384180283,0.0561304462371,0.510731312306,0.0659829572136
FCMMPSO (2),3478,3618,0.837814324675,0.0520850509479,0.856459276094,0.0220960760247,0.635744795294,0.0358854206264,0.340097016808,0.0463123471013,0.450783065531,0.0905053173573,0.92376410374,0.0291506272059,0.674822699005,0.0494483901354,0.654544794148,0.0553400814546,0.518511082497,0.0665812981283
FCM + Ecca (2),3537,3559,0.846259835264,0.0496958895413,0.86341856798,0.0210824024312,0.640734849679,0.0368843537536,0.33957460173,0.0441903608798,0.45286010405,0.0870482247084,0.933489199485,0.0272916951984,0.680827826238,0.0499054126794,0.653206674776,0.052473623738,0.520455919507,0.0659916654203
"0.25, 0.75",,,,,,,,,,,,,,,,,,,,
FCM + Pso (3),1837,3165,0.939180595032,0.0288579732236,0.718698737681,0.0146787457385,0.578598584084,0.0241229921662,0.265592236411,0.0296980807458,0.371221790126,0.0492916499939,0.431697546585,0.0781415483602,0.532286898038,0.0988034616718,0.814365800682,0.0246127359811,0.594035813056,0.0434513636112
FCMMPSO (3),2353,3353,0.902256524429,0.0355488041732,0.733617101512,0.0136722912432,0.588963941138,0.0268866277624,0.307738106567,0.0429857256272,0.237713868804,0.0505131297379,0.468968278695,0.114412415828,0.540534778488,0.1098661988,0.82183337506,0.0346612466644,0.605106995147,0.0481145153985
FCM + Ecca (3),3383,3490,0.870114599734,0.0379764327969,0.700941093441,0.0158505393027,0.574098016687,0.0227678236232,0.379434160836,0.0527387117563,0.271769418548,0.0703582165594,0.525987418997,0.0886194326509,0.509542692112,0.0902527636698,0.759258984979,0.0344893086402,0.595616457873,0.0427214535366
"1, 0",network lifetime,,,,,,,,,,,,,,,,,,,
FCM + Pso (4),2774,2860,0.878651939419,0.050042604164,0.832348150027,0.0363937180147,0.664176155083,0.0438810684254,0.181691014503,0.036419685717,0.755259980161,0.0847798975925,0.832348150027,0.0363937180097,0.664176155083,0.0438810684221,0.647632236415,0.0464252516915,0.490609032285,0.072594484506
FCMMPSO (4),3557,3641,0.734255800326,0.0583387118504,0.953235970811,0.0232136842449,0.684998109491,0.0473445576092,0.33808254198,0.0502623199219,0.566784695254,0.0976221432213,0.953235970811,0.0232136842449,0.684998109491,0.0473445576092,0.542905196069,0.0592066450887,0.486130794379,0.0695171860942
FCM + Ecca (4),3417,3440,0.772554708975,0.0669560611285,0.972427235676,0.019044293279,0.683159665756,0.045552104098,0.320254851921,0.0432944424444,0.568796220461,0.105017130773,0.972427235676,0.019044293279,0.683159665756,0.045552104098,0.572459615292,0.0589486490171,0.49956405088,0.0690137212092
"0, 1",coverage only,,,,,,,,,,,,,,,,,,,
FCM + Pso (5),1470,3373,0.898641062501,0.0665271859051,0.867321435496,0.0580079486506,0.641118191777,0.0583123889642,0.483758279592,0.0420202465011,0.0777886542847,0.0495029281812,0.147147457932,0.129823196106,0.447534411159,0.0877988505835,0.867321435496,0.0580079486506,0.641118191777,0.0583123889642
FCMMPSO (5),1469,3467,0.954139937612,0.0152338278248,0.867591938058,0.0191481482529,0.634914536903,0.0523500347998,0.337938486905,0.0479438172557,0.250714358962,0.0496887561491,0.262868219618,0.0478997423935,0.444269157699,0.0971332734915,0.867591938058,0.0191481482529,0.634914536903,0.0523500347998
FCM + Ecca (5),1651,3746,0.890544248246,0.0330582639538,0.845490353434,0.0199490810269,0.629582390607,0.0424733139859,0.484888071255,0.185725883496,0.140966476545,0.0769961553531,0.241983181647,0.0653609957929,0.421717122663,0.0964944130908,0.845490353434,0.0199490810269,0.629582390607,0.0424733139859
